Ship_Status,NDR_Remarks,Total_Attempts,AWB
RTO,Rejected,Attempt 2,STLC8000199780
RTO,Rejected,Attempt 2,STLC8000201848
Exception,Rejected,Attempt 2,STLC8000202150
RTO,Rejected,Attempt 2,STLC8000202092
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201535
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003363815
Exception,Rejected,Attempt 3,STLC8000200689
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201497
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003364778
Exception,Delivery attempt failed(No response from customer),Attempt 1,STLC8000202394
RTO,Rejected,Attempt 2,STLC8000202084
RTO,Rejected,Attempt 2,STLC8000200059
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201064
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003363657
RTO,Rejected,Attempt 2,STLC8000200393
Exception,Rejected,Attempt 2,STLC8000202657
RTO,Rejected,Attempt 2,STLC8000201470
Exception,Rejected,Attempt 2,STLC8000201757
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201540
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000202006
RTO,Rejected,Attempt 2,STLC8000201038
RTO,Rejected,Attempt 2,STLC8000201206
RTO,Rejected,Attempt 2,STLC8000202548
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000201827
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202576
Exception,Rejected,Attempt 2,STLC8000199402
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201764
RTO,Rejected,Attempt 3,STLC8000202178
Exception,Unable to attempt delivery due to operational issues,Attempt 2,STLC8000201852
In Transit,210 - Shipment attempted - Customer refused to accept,Attempt 1,412003364706
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202430
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201404
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003363808
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003364789
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202163
Out For Delivery,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003364934
Exception,Rejected,Attempt 2,STLC8000202102
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202036
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201959
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201554
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201347
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000201969
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364583
RTO,Rejected,Attempt 3,STLC8000202653
Out For Delivery,210 - Customer Refused Delivery at Doorstep,Attempt 1,412003364892
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364092
RTO,Rejected,Attempt 2,STLC8000189021
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364147
Exception,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 3,STLC8000202617
RTO,Rejected,Attempt 1,STLC8000197972
RTO,Rejected,Attempt 2,STLC8000201388
RTO,Rejected,Attempt 2,STLC8000202648
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000200126
Out For Delivery,Undelivered due to incomplete address,Attempt 2,STLC8000198885
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003364503
RTO,Rejected,Attempt 2,STLC8000202265
In Transit,210 - Shipment attempted - Customer refused to accept,Attempt 1,412003364902
Exception,Delivery attempt failed(No response from customer),Attempt 1,STLC8000201687
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202663
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364995
Exception,Customer Not Responding,Attempt 1,STLC8000201957
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201318
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000195740
Exception,Rejected,Attempt 2,STLC8000202373
Delivered,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000200902
RTO,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364750
Exception,Rejected,Attempt 2,STLC8000200325
RTO,Rejected,Attempt 2,STLC8000201721
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000201637
Exception,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000201639
Delivered,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000201198
Exception,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000201741
RTO,Rejected,Attempt 1,STLC8000202251
Exception,Rejected,Attempt 2,STLC8000201817
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202380
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364768
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000201399
RTO,Rejected,Attempt 2,STLC8000200504
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003299570
Exception,Rejected,Attempt 2,STLC8000202245
Exception,210 - Customer Refused Delivery at Doorstep,Attempt 2,412003364392
Delivered,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 2,STLC8000199392
Exception,Rejected,Attempt 2,STLC8000172358
Exception,Customer Not Responding,Attempt 2,STLC8000201962
Exception,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000195296
Exception,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 3,STLC8000201722
RTO,Rejected,Attempt 2,STLC8000200999
RTO,Rejected,Attempt 3,STLC8000200684
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000200780
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364590
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000201424
Delivered,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 2,STLC8000202400
Exception,Rejected,Attempt 2,STLC8000202577
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000200901
Exception,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000201934
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202202
RTO,Rejected,Attempt 2,STLC8000196268
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202555
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000201931
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000193863
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201702
RTO,Rejected,Attempt 2,STLC8000201971
RTO,Rejected,Attempt 2,STLC8000198354
Exception,Rejected,Attempt 2,STLC8000202486
RTO,Rejected,Attempt 2,STLC8000198203
RTO,Rejected,Attempt 2,STLC8000200051
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202517
RTO,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000202153
RTO,Rejected,Attempt 1,STLC8000200754
Exception,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000200694
Delivered,Request for reschedule,Attempt 1,STLC8000199189
Exception,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 3,STLC8000202033
RTO,Rejected,Attempt 2,STLC8000201778
RTO,Rejected,Attempt 2,STLC8000201776
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000178802
RTO,Rejected,Attempt 2,STLC8000201660
Out For Delivery,231 - Shipment attempted - Customer not available,Attempt 1,412003364744
RTO,Rejected,Attempt 2,STLC8000202842
RTO,Rejected,Attempt 3,STLC8000201745
Delivered,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 1,STLC8000199743
In Transit,Unable to attempt delivery due to operational issues,Attempt 3,STLC8000202474
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000199520
Exception,Request for reschedule,Attempt 1,STLC8000202623
RTO,Rejected,Attempt 2,STLC8000199584
RTO,Rejected,Attempt 2,STLC8000199284
RTO,Rejected,Attempt 1,STLC8000201946
Exception,PRF|RECEIVER REFUSED DELIVERY(CIR),Attempt 3,I40408792
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202218
RTO,Rejected,Attempt 2,STLC8000201459
Exception,Rejected,Attempt 2,STLC8000202274
RTO,Rejected,Attempt 2,STLC8000201538
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202317
Out For Delivery,Undelivered due to incomplete address,Attempt 3,STLC8000198529
RTO,Rejected,Attempt 3,STLC8000202217
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003361484
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003364008
Exception,Request for reschedule,Attempt 1,STLC8000198900
RTO,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000201705
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003363919
RTO,Rejected,Attempt 1,STLC8000202289
RTO,Rejected,Attempt 2,STLC8000201641
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000201812
Exception,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000201539
Exception,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 2,STLC8000202305
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003364679
Exception,Rejected,Attempt 3,STLC8000201716
RTO,Rejected,Attempt 2,STLC8000201847
RTO,Rejected,Attempt 2,STLC8000202334
RTO,Rejected,Attempt 2,STLC8000202131
RTO,Rejected,Attempt 2,STLC8000201666
Exception,Rejected,Attempt 1,STLC8000202336
Exception,Rejected,Attempt 1,STLC8000202797
Out For Delivery,Customer Not Responding,Attempt 1,STLC8000202030
Exception,Rejected,Attempt 2,STLC8000202559
RTO,Rejected,Attempt 2,STLC8000201400
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202818
Exception,70,Attempt 2,14227883281704
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000201849
RTO,Rejected,Attempt 2,STLC8000201859
RTO,Rejected,Attempt 2,STLC8000200451
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000201436
RTO,210 - Customer Refused Delivery at Doorstep,Attempt 2,412003364507
Exception,210 - Customer Refused Delivery at Doorstep,Attempt 2,412003365119
Delivered,Undelivered. (Rescheduled to: 2024-01-12 00:00:00.0),Attempt 2,STLC8000202079
RTO,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003365009
Exception,70,Attempt 1,14227883281672
RTO,Rejected,Attempt 3,STLC8000201750
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000201546
RTO,Rejected,Attempt 2,STLC8000201161
RTO,Rejected,Attempt 2,STLC8000201872
Exception,Rejected,Attempt 2,STLC8000201313
RTO,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000198876
Out For Delivery,Out of delivery area (Pincode-Address mismatch),Attempt 1,STLC8000200931
Exception,Rejected,Attempt 2,STLC8000198425
Exception,Rejected,Attempt 2,STLC8000200125
RTO,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000201466
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000199569
In Transit,210 - Shipment attempted - Customer refused to accept,Attempt 2,412003363118
RTO,Undelivered. (Rescheduled to: __dd-mm-yy__),Attempt 3,STLC8000202067
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201821
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201707
RTO,Rejected,Attempt 3,STLC8000200130
RTO,Rejected,Attempt 3,STLC8000201311
RTO,Rejected,Attempt 2,STLC8000201989
Exception,Undelivered due to incomplete address,Attempt 1,STLC8000201050
RTO,Rejected,Attempt 2,STLC8000200155
RTO,Rejected,Attempt 2,STLC8000202624
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003363769
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201652
RTO,Customer Not Responding,Attempt 3,STLC8000201836
RTO,Rejected,Attempt 2,STLC8000202445
RTO,Rejected,Attempt 2,STLC8000202581
Exception,Rejected,Attempt 2,STLC8000202307
Out For Delivery,Undelivered due to incomplete address,Attempt 2,STLC8000202247
Delivered,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 2,STLC8000202422
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201686
RTO,Rejected,Attempt 2,STLC8000202879
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202213
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000200848
Exception,Customer Not Responding,Attempt 3,STLC8000200215
RTO,Rejected,Attempt 2,STLC8000200839
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000202246
RTO,Rejected,Attempt 2,STLC8000202608
Exception,Customer Not Responding,Attempt 3,STLC8000200987
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003365021
RTO,Rejected,Attempt 2,STLC8000199921
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000200802
Out For Delivery,Request for reschedule,Attempt 1,STLC8000202714
RTO,Rejected,Attempt 2,STLC8000200593
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202032
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197807
RTO,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000199230
RTO,Rejected,Attempt 2,STLC8000201527
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 1,STLC8000198883
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202399
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202529
RTO,Rejected,Attempt 2,STLC8000202017
RTO,Rejected,Attempt 2,STLC8000200417
Exception,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 2,STLC8000202738
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000201713
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202172
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202348
RTO,Rejected,Attempt 3,STLC8000199896
RTO,Rejected,Attempt 2,STLC8000199952
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201214
RTO,Rejected,Attempt 2,STLC8000202665
RTO,Rejected,Attempt 2,STLC8000202790
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201274
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201990
Out For Delivery,Customer not available at given address and not reachable over phone,Attempt 1,14227883281355
RTO,Rejected,Attempt 2,STLC8000202195
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000201663
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000200042
Out For Delivery,Request for reschedule,Attempt 3,STLC8000202554
Exception,Rejected,Attempt 2,STLC8000201162
RTO,Rejected,Attempt 2,STLC8000200427
RTO,Rejected,Attempt 2,STLC8000201405
Exception,Rejected,Attempt 3,STLC8000201173
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000201621
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000202549
RTO,Rejected,Attempt 2,STLC8000199697
RTO,Rejected,Attempt 2,STLC8000201648
RTO,Rejected,Attempt 2,STLC8000200415
Exception,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000202089
RTO,Rejected,Attempt 2,STLC8000202939
RTO,Rejected,Attempt 2,STLC8000202691
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000200152
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196829
RTO,Rejected,Attempt 1,STLC8000201939
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000202610
Exception,Rejected,Attempt 3,STLC8000201813
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 3,STLC8000201841
RTO,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000202470
RTO,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000200159
RTO,Rejected,Attempt 2,STLC8000202260
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000202194
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202777
RTO,Rejected,Attempt 2,STLC8000202520
RTO,Rejected,Attempt 1,STLC8000202015
RTO,Rejected,Attempt 2,STLC8000201322
Exception,Rejected,Attempt 2,STLC8000201979
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000201601
Exception,Undelivered due to shipment damaged,Attempt 1,STLC8000200833
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000201434
RTO,Rejected,Attempt 2,STLC8000202253
RTO,Rejected,Attempt 2,STLC8000201302
RTO,Rejected,Attempt 2,STLC8000201710
RTO,Rejected,Attempt 1,STLC8000200680
Exception,Undelivered due to shipment damaged,Attempt 1,STLC8000143813
RTO,Rejected,Attempt 2,STLC8000202642
Exception,Rejected,Attempt 2,STLC8000201446
RTO,Rejected,Attempt 2,STLC8000200948
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364280
RTO,Rejected,Attempt 2,STLC8000196001
Exception,Rejected,Attempt 2,STLC8000202644
Exception,Request for reschedule,Attempt 1,STLC8000201397
RTO,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003365143
Exception,Rejected,Attempt 2,STLC8000202627
RTO,Rejected,Attempt 2,STLC8000202003
RTO,Rejected,Attempt 2,STLC8000201344
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202155
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000200442
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000202374
In Transit,210 - Customer Refused Delivery at Doorstep,Attempt 1,412003364990
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201293
RTO,Rejected,Attempt 2,STLC8000201691
RTO,Rejected,Attempt 1,STLC8000202022
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201070
RTO,Rejected,Attempt 2,STLC8000202056
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000200197
RTO,Rejected,Attempt 2,STLC8000202938
RTO,Rejected,Attempt 2,STLC8000202785
RTO,Rejected,Attempt 2,STLC8000190943
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201134
Exception,Rejected,Attempt 2,STLC8000200811
RTO,Rejected,Attempt 2,STLC8000201726
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000200564
Exception,Rejected,Attempt 2,STLC8000202751
Exception,Rejected,Attempt 2,STLC8000202902
RTO,Rejected,Attempt 2,STLC8000200930
RTO,Rejected,Attempt 2,STLC8000202462
RTO,Rejected,Attempt 2,STLC8000202011
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202041
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202616
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000200453
Out For Delivery,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364693
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000202190
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202719
Exception,Rejected,Attempt 3,STLC8000202177
RTO,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000202824
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003146469
RTO,Rejected,Attempt 2,STLC8000200382
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000202268
RTO,Rejected,Attempt 2,STLC8000201213
RTO,Rejected,Attempt 2,STLC8000202585
Exception,Rejected,Attempt 2,STLC8000201975
RTO,Rejected,Attempt 2,STLC8000201227
RTO,Rejected,Attempt 2,STLC8000200835
Exception,Rejected,Attempt 2,STLC8000202075
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000199813
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202035
Exception,Rejected,Attempt 2,STLC8000200099
Exception,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 2,STLC8000202331
Out For Delivery,231 - Shipment attempted - Customer not available,Attempt 2,412003362530
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202267
Exception,Rejected,Attempt 2,STLC8000202148
Exception,Rejected,Attempt 1,STLC8000202572
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000202236
Delivered,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000198416
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000201566
Exception,Rejected,Attempt 2,STLC8000201749
Exception,Rejected,Attempt 1,STLC8000202487
Exception,Rejected,Attempt 2,STLC8000202361
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003365357
RTO,Rejected,Attempt 2,STLC8000202458
Exception,Rejected,Attempt 3,STLC8000201023
RTO,Rejected,Attempt 3,STLC8000201951
RTO,Rejected,Attempt 2,STLC8000198390
Exception,Request for reschedule,Attempt 1,STLC8000202124
Exception,Request for reschedule,Attempt 2,STLC8000200362
Exception,Rejected,Attempt 2,STLC8000201832
Exception,Rejected,Attempt 2,STLC8000198358
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000202341
Exception,Customer Not Responding,Attempt 3,STLC8000203146
RTO,Rejected,Attempt 2,STLC8000202733
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000199107
Exception,Rejected,Attempt 2,STLC8000203119
RTO,Rejected,Attempt 2,STLC8000202162
Exception,Rejected,Attempt 2,STLC8000202020
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000195882
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202979
Exception,Rejected,Attempt 2,STLC8000202296
RTO,Rejected,Attempt 2,STLC8000202316
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000196896
RTO,Rejected,Attempt 1,STLC8000202910
Exception,Rejected,Attempt 2,STLC8000202472
RTO,Rejected,Attempt 2,STLC8000202215
Exception,Rejected,Attempt 2,STLC8000201774
Out For Delivery,210 - Shipment attempted - Customer refused to accept,Attempt 1,412003364636
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000202651
RTO,Rejected,Attempt 1,STLC8000201299
RTO,Rejected,Attempt 2,STLC8000201031
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201628
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003365121
Exception,Rejected,Attempt 2,STLC8000202772
Exception,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 1,STLC8000201059
Delivered,Customer Not Responding,Attempt 1,STLC8000190644
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201678
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000201635
RTO,Rejected,Attempt 2,STLC8000201869
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003362342
Out For Delivery,210 - Shipment attempted - Customer refused to accept,Attempt 1,412003361424
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000201567
Exception,Rejected,Attempt 2,STLC8000200670
In Transit,210 - Shipment attempted - Customer refused to accept,Attempt 1,412003364656
Exception,Customer Not Responding,Attempt 1,STLC8000201700
RTO,Rejected,Attempt 3,STLC8000200776
RTO,Rejected,Attempt 2,STLC8000202008
RTO,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003365037
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 2,STLC8000202388
Exception,Request for reschedule,Attempt 3,STLC8000202693
RTO,Rejected,Attempt 2,STLC8000201944
Exception,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 3,STLC8000202074
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000201074
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000201921
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202241
Exception,Rejected,Attempt 2,STLC8000200805
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202369
RTO,Rejected,Attempt 2,STLC8000203315
Exception,Customer not available at given address and not reachable over phone,Attempt 1,14227883279230
Exception,Rejected,Attempt 2,STLC8000202129
Exception,Rejected,Attempt 2,STLC8000202561
RTO,Delivery attempt failed(No response from customer),Attempt 1,STLC8000202257
RTO,Rejected,Attempt 2,STLC8000175842
RTO,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003361621
Out For Delivery,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364172
RTO,Rejected,Attempt 2,STLC8000201439
Exception,Rejected,Attempt 2,STLC8000201474
Exception,Rejected,Attempt 2,STLC8000200735
RTO,Rejected,Attempt 1,STLC8000200679
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000202333
Exception,Rejected,Attempt 2,STLC8000198783
Exception,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000202073
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000202793
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202432
Exception,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 3,STLC8000202715
Exception,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000202827
RTO,Rejected,Attempt 2,STLC8000201230
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000199933
RTO,Rejected,Attempt 2,STLC8000194256
In Transit,210 - Shipment attempted - Customer refused to accept,Attempt 3,412003363468
Exception,Rejected,Attempt 1,STLC8000202115
Exception,Rejected,Attempt 2,STLC8000198297
RTO,Rejected,Attempt 2,STLC8000202696
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000202798
RTO,Rejected,Attempt 2,STLC8000197777
RTO,Rejected,Attempt 1,STLC8000202823
Exception,Rejected,Attempt 2,STLC8000202551
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003365421
RTO,Rejected,Attempt 2,STLC8000202775
Out For Delivery,210 - Customer Refused Delivery at Doorstep,Attempt 1,412003365023
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000200851
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000202611
Out For Delivery,Customer Not Responding,Attempt 1,STLC8000202304
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000201306
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000202832
RTO,Rejected,Attempt 2,STLC8000200515
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000202375
RTO,Rejected,Attempt 2,STLC8000194923
Exception,Rejected,Attempt 2,STLC8000202579
